comparison,k,direct,direct_low,direct_up,nma,indirect,indirect_low,indirect_up,p-value
ADA:APRE,0,,,,2.2561517528,2.2561517528,1.3110890979,3.8824369297,
ADA:BIME,1,0.6026216969,0.5149533495,0.7052151616,0.5729997047000001,0.5579111524,0.49760598310000004,0.6255247416,0.4370839788
ADA:BRODA,0,,,,0.7195904043,0.7195904043,0.6338243785000001,0.8169618707,
ADA:CERTO,0,,,,1.3062309466,1.3062309466,0.9653939051,1.7674021732,
ADA:CICLO,0,,,,2.4738687703,2.4738687703,0.4603846106,13.293291199,
ADA:DEUCRAVA,0,,,,1.2395504729,1.2395504729,0.1753561686,8.7620834052,
ADA:ETA,0,,,,1.6282243345,1.6282243345,1.4283587558,1.8560564513000002,
ADA:FUM,0,,,,3.9822354896,3.9822354896,1.7987569943000001,8.8161989333,
ADA:GUSEL,3,0.6888569240000001,0.6282914067,0.7552607861,0.7195067635,0.7901515295,0.6903761876000001,0.9043467181,0.09979484
ADA:IFX,0,,,,0.34603347840000004,0.34603347840000004,0.14248040280000002,0.8403904384,
ADA:IXE,0,,,,0.5744583914,0.5744583914,0.5182208917,0.6367988029,
ADA:MTX,0,,,,2.4979938814000002,2.4979938814000002,0.5026115814000001,12.4151007705,
ADA:NETA,0,,,,3.8625956779,3.8625956779,1.7443300276,8.5532239513,
ADA:PBO,8,15.3125565949,10.8331850644,21.6440860261,17.3369559384,18.0796602242,14.7855116228,22.1077310115,0.4159879248
ADA:RISAN,1,0.6540318686000001,0.5700252969,0.7504187753,0.6033163333,0.5557425114,0.4837769214,0.6384135442000001,0.1021466806
ADA:SECU,0,,,,0.660428527,0.660428527,0.6078219929,0.7175881168,
ADA:SONELO,0,,,,0.6823388582000001,0.6823388582000001,0.5369161928,0.8671489584000001,
ADA:TILDRA,0,,,,0.9342183592000001,0.9342183592000001,0.7221738447,1.2085233344,
ADA:USK,0,,,,0.9175607520000001,0.9175607520000001,0.8366543203,1.0062910252,
APRE:BIME,0,,,,0.25397214700000004,0.25397214700000004,0.14768795740000001,0.4367441502,
APRE:BRODA,0,,,,0.3189459235,0.3189459235,0.1847596585,0.5505882774,
APRE:CERTO,0,,,,0.5789641344,0.5789641344,0.31788001450000003,1.0544842507,
APRE:CICLO,0,,,,1.096499279,1.096499279,0.18918398250000001,6.3552455825,
APRE:DEUCRAVA,0,,,,0.5494091749000001,0.5494091749000001,0.0728002056,4.146285564,
APRE:ETA,1,0.7058823529,0.35996483160000003,1.3842182692,0.7216820998,0.7494916588,0.31083063110000003,1.8072148962,0.9155677831000001
APRE:FUM,0,,,,1.7650565768000002,1.7650565768000002,0.68646273,4.5383741656000005,
APRE:GUSEL,0,,,,0.3189088512,0.3189088512,0.18581131450000002,0.5473447924,
APRE:IFX,0,,,,0.1533733172,0.1533733172,0.055065546300000004,0.42718861420000004,
APRE:IXE,0,,,,0.2546186845,0.2546186845,0.14839492340000002,0.4368793287,
APRE:MTX,0,,,,1.1071923147,1.1071923147,0.2058115913,5.9562963091,
APRE:NETA,0,,,,1.7120283124,1.7120283124,0.6657150208,4.4028463393,
APRE:PBO,5,6.9546813624,3.3755706587,14.3287158658,7.6843039998,8.7065609473,3.8778715172,19.5478894008,0.6847928492
APRE:RISAN,0,,,,0.2674094651,0.2674094651,0.155135604,0.46093752920000003,
APRE:SECU,0,,,,0.292723451,0.292723451,0.1706872513,0.5020118264,
APRE:SONELO,0,,,,0.30243482390000004,0.30243482390000004,0.1686096273,0.5424768691,
APRE:TILDRA,0,,,,0.41407602930000004,0.41407602930000004,0.2322384375,0.7382884584,
APRE:USK,0,,,,0.4066928348,0.4066928348,0.23707363780000001,0.6976695653,
BIME:BRODA,0,,,,1.2558303232,1.2558303232,1.1170794743,1.4118152171,
BIME:CERTO,0,,,,2.2796363349,2.2796363349,1.68788812,3.0788425832,
BIME:CICLO,0,,,,4.3173997303,4.3173997303,0.8034926174,23.1986455474,
BIME:DEUCRAVA,0,,,,2.1632654656,2.1632654656,0.3060412511,15.2911330037,
BIME:ETA,0,,,,2.8415797099,2.8415797099,2.5045075774,3.2240170965,
BIME:FUM,0,,,,6.9498037385,6.9498037385,3.1394305019,15.3848833331,
BIME:GUSEL,0,,,,1.2556843532,1.2556843532,1.1556698957,1.3643543029,
