comparison,k,direct,direct_low,direct_up,nma,indirect,indirect_low,indirect_up,p-value
ADA:APRE,0,,,,0.9926031771,0.9926031771,0.4812691048,2.0472144531,
ADA:BIME,1,2.0062893082,0.5894215817,6.8290624458,1.8966382068,1.8307770647,0.6930957471,4.8359042376,0.9086226237
ADA:BRODA,0,,,,0.9509166473,0.9509166473,0.49941235710000004,1.8106129278,
ADA:CERTO,0,,,,1.4024896917,1.4024896917,0.5664763186,3.4723028497,
ADA:DEUCRAVA,0,,,,1.6119100123,1.6119100123,0.1655905791,15.6908315812,
ADA:ETA,0,,,,1.2318857924,1.2318857924,0.7078954136000001,2.1437384344,
ADA:FUM,0,,,,1.1824424556,1.1824424556,0.4105597996,3.4055213449,
ADA:GUSEL,3,1.0979098609,0.5434584443,2.2180280303,1.0917126213,1.0865276777,0.5701196943,2.0706921829,0.9829211035000001
ADA:IFX,0,,,,0.8306334697000001,0.8306334697000001,0.3639805981,1.8955734577,
ADA:IXE,0,,,,1.0835305676,1.0835305676,0.6305537617,1.8619165599,
ADA:MTX,0,,,,12.3033951553,12.3033951553,1.3799839175,109.6922438179,
ADA:NETA,0,,,,1.2445433363,1.2445433363,0.0503027699,30.7913086741,
ADA:PBO,8,1.1497219844,0.7079608229000001,1.8671381221,0.9802155480000001,0.7009113828,0.3469768089,1.4158778164,0.2560989504
ADA:RISAN,1,0.8911184211000001,0.367289405,2.1620336157,1.3526628619,1.6783641739,0.8874228334,3.1742549261,0.2556688817
ADA:SECU,0,,,,0.9256085409,0.9256085409,0.5774900102,1.4835774748000001,
ADA:SONELO,0,,,,0.7948954871,0.7948954871,0.1532270046,4.1236780475,
ADA:TILDRA,0,,,,1.2344211557,1.2344211557,0.5151883594000001,2.9577446036,
ADA:USK,0,,,,1.0177938222,1.0177938222,0.6235640448,1.6612636233,
APRE:BIME,0,,,,1.9107718478,1.9107718478,0.7391660644,4.9394164997,
APRE:BRODA,0,,,,0.9580028245000001,0.9580028245000001,0.43309708350000004,2.1190847199,
APRE:CERTO,0,,,,1.4129409658,1.4129409658,0.512842118,3.8928202321,
APRE:DEUCRAVA,0,,,,1.6239218748000002,1.6239218748000002,0.1594655896,16.5372495866,
APRE:ETA,1,1.4,0.2842405764,6.8955672143,1.2410657359,1.2061875427,0.5554294859000001,2.6193935056,0.8691632813
APRE:FUM,0,,,,1.1912539502,1.1912539502,0.3765660357,3.7684916833,
APRE:GUSEL,0,,,,1.0998480023,1.0998480023,0.5394520092,2.2423971129,
APRE:IFX,0,,,,0.8368233035,0.8368233035,0.3264429685,2.1451625822000002,
APRE:IXE,0,,,,1.0916049763,1.0916049763,0.5316280325,2.2414194728,
