comparison,direct,indirect,p-value
ADA:BIME,"2.01 (0.59, 6.83)","1.83 (0.69, 4.84)",0.908622624
ADA:GUSEL,"1.1 (0.54, 2.22)","1.09 (0.57, 2.07)",0.982921104
ADA:PBO,"1.15 (0.71, 1.87)","0.7 (0.35, 1.42)",0.25609895
ADA:RISAN,"0.89 (0.37, 2.16)","1.68 (0.89, 3.17)",0.255668882
APRE:ETA,"1.4 (0.28, 6.9)","1.21 (0.56, 2.62)",0.869163281
APRE:PBO,"1.01 (0.53, 1.91)","0.86 (0.14, 5.33)",0.870360586
BIME:PBO,"0.58 (0.2, 1.65)","0.46 (0.17, 1.29)",0.765353232
BIME:USK,"0.51 (0.15, 1.73)","0.56 (0.21, 1.46)",0.910348682
BRODA:PBO,"0.89 (0.5, 1.57)","2.03 (0.61, 6.81)",0.222999005
BRODA:USK,"1.5 (0.63, 3.55)","0.83 (0.39, 1.75)",0.312125895
CERTO:ETA,"2.56 (0.3, 21.74)","0.7 (0.26, 1.88)",0.280442311
CERTO:PBO,"0.61 (0.26, 1.39)","34.24 (0.45, 2622.17)",0.073452757
ETA:IFX,"1.09 (0.07, 16.39)","0.64 (0.27, 1.51)",0.717683281
ETA:IXE,"0.94 (0.48, 1.81)","0.82 (0.42, 1.63)",0.789843373
ETA:PBO,"0.72 (0.44, 1.18)","0.98 (0.48, 2)",0.496347091
ETA:SECU,"0.55 (0.15, 1.95)","0.79 (0.47, 1.34)",0.596523457
ETA:TILDRA,"1.39 (0.53, 3.61)","0.52 (0.13, 2.02)",0.245948529
ETA:USK,"0.8 (0.24, 2.64)","0.83 (0.49, 1.42)",0.955767172
GUSEL:IXE,"0.91 (0.47, 1.77)","1.07 (0.57, 2)",0.729412936
GUSEL:PBO,"1.07 (0.5, 2.28)","0.85 (0.54, 1.32)",0.607902395
GUSEL:SECU,"0.86 (0.55, 1.35)","0.83 (0.45, 1.52)",0.928353288
IFX:PBO,"1.22 (0.58, 2.59)","0.72 (0.05, 11.26)",0.717683281
IXE:PBO,"0.95 (0.54, 1.68)","0.86 (0.48, 1.54)",0.820467737
IXE:USK,"0.73 (0.18, 3.01)","0.97 (0.58, 1.64)",0.712970986
PBO:RISAN,"1.83 (0.93, 3.59)","1.12 (0.63, 2)",0.280172564
PBO:SECU,"0.89 (0.56, 1.41)","1 (0.63, 1.58)",0.727737784
PBO:SONELO,"1.08 (0.18, 6.42)","0.24 (0.01, 9.26)",0.466380381
PBO:TILDRA,"1.03 (0.4, 2.64)","1.97 (0.49, 7.98)",0.449119909
PBO:USK,"1.02 (0.64, 1.63)","1.05 (0.64, 1.74)",0.931468172
RISAN:SECU,"1.49 (0.54, 4.09)","0.54 (0.31, 0.94)",0.085617657
RISAN:USK,"0.54 (0.27, 1.05)","1.02 (0.54, 1.94)",0.172431517
SECU:SONELO,"0.35 (0.02, 6.31)","1.29 (0.18, 9.12)",0.466380381
SECU:USK,"1.26 (0.7, 2.3)","1 (0.6, 1.65)",0.550221767
