Treatment,Reference,TE,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,direct,direct_lower,direct_upper,indirect,indirect_lower,indirect_upper
ADA,ETA,1.6282243345,1.4283553184,1.856060918,1.4258948602000001,1.8592636509,14.9656705479,0,,,,0.6141659836000001,0.5387767162,0.7001042252
APRE,ETA,0.7216820998,0.42273045940000004,1.2320499782,0.419764524,1.240755289,3.6645790389,0,1.4166666667,0.722429419,2.7780491654,1.3342376639,0.5533376258,3.2171861459
BIME,ETA,2.8415797099,2.5045017663999998,3.224024577,2.5003421251,3.2293881572,15.5222548583,0,,,,0.3519169272,0.3101720525,0.3992800856
BRODA,ETA,2.262709904,1.9607846059,2.6111262267,1.9570913131,2.6160537708,13.6853861462,0,,,,0.4419479485,0.38297751420000004,0.5099985818
CERTO,ETA,1.2465057108,0.9458015569,1.6428144738000001,0.9423705679000001,1.6487956435000002,7.0997332985,0,0.8357771261,0.6255613696,1.1166344958,0.5355679186,0.2155656807,1.3306060334
CICLO,ETA,0.6581692425,0.1223841682,3.5395652744,0.1197036298,3.6188272018000003,1.1650736441,0,,,,1.5193660467,0.28252930390000003,8.1707389359
DEUCRAVA,ETA,1.3135603351,0.18569331560000002,9.2918840303,0.1809719502,9.534299387899999,1.0018400784,0,,,,0.7612897354,0.10762466970000001,5.3850298703
FUM,ETA,0.4088719361,0.1843746788,0.9067202786,0.18245172210000002,0.9162766904,2.4609759298,0,,,,2.4457535765,1.1028921028,5.4236588891
GUSEL,ETA,2.262972938,2.0148066118,2.5417062303,2.0117281207,2.5455957321,16.8738314592,0,,,,0.4418965791,0.3934373385,0.4963244908
IFX,ETA,4.7053953914,1.9387661789,11.4200185817,1.9162681924,11.5540955472,2.2105478593,0,0.1086956522,0.0150663402,0.7841814675000001,0.2516533127,0.09331108960000001,0.6786909253
IXE,ETA,2.8343642619000002,2.5448240868000003,3.1568471906,2.541216756,3.1613284267,18.1892188534,0,0.3433042459,0.2987685457,0.3944786254,0.36765996570000004,0.3099729563,0.4360827215
MTX,ETA,0.6518127793,0.1310362457,3.2423082418,0.1282978965,3.3115110294,1.2217292757,0,,,,1.5341828693,0.3084313412,7.6312513103
NETA,ETA,0.42153631140000003,0.1900434974,0.9350115328,0.18806087030000002,0.9448688693,2.4602934312,0,,,,2.3722748739,1.069521181,5.2618762277
PBO,ETA,0.09391639110000001,0.07833726220000001,0.1125937807,0.0781504362,0.11286294670000001,10.8059502032,0,11.6683844285,8.1346904294,16.7371083573,10.3230877097,8.3691640862,12.733188018
RISAN,ETA,2.6987904099,2.3518240552,3.0969449695,2.3475674494,3.1025603455,14.2428967791,0,,,,0.3705363693,0.3228996765,0.4252008007
SECU,ETA,2.4654058205,2.2016115383,2.7608075967,2.1983341303,2.7649235738,17.3195645584,0,0.43080462480000004,0.3429693741,0.5411346867,0.3977031119,0.3490983657,0.4530750664
SONELO,ETA,2.3862400845,1.8552589445,3.0691897525,1.8491219826,3.0793759386,7.7872132311,0,,,,0.419069316,0.3258203974,0.5390058234
TILDRA,ETA,1.7428734069,1.3909227584,2.1838795103,1.3867986549,2.1903739969,8.6891852988,0,0.5680756943,0.449039379,0.71866747,0.6436110093,0.28966880970000003,1.4300301494
USK,ETA,1.7745139283,1.583382237,1.9887173218,1.5810085725,1.9917031043,17.1985151288,0,0.5549109872,0.4470985991,0.6887210212,0.5668954779,0.4957292378,0.6482782502000001
ADA,PBO,17.3369559384,14.5696104817,20.6299297835,14.5362946261,20.6772116927,11.2706820575,0,0.0653058811,0.0462019971,0.0923089557,0.055310774,0.045233045400000005,0.0676337773
APRE,PBO,7.6843039998,4.4826106301,13.1727988074,4.4509183573,13.2665942669,3.6365377031,0,0.1437880397,0.0697899246,0.2962462058,0.11485591220000001,0.0511564179,0.2578734225
BIME,PBO,30.2564832016,25.4356873736,35.9909587771,25.377639748500002,36.0732828113,11.2931016462,0,0.0391809928,0.0172524332,0.0889816631,0.0327882512,0.0274535537,0.0391595721
BRODA,PBO,24.0928114598,20.0468539304,28.9553446168,19.9983967619,29.0255049416,10.6613701509,0,0.0375930928,0.023944303,0.059021998900000004,0.0423328721,0.0346136872,0.0517735094
CERTO,PBO,13.2725043632,9.6336368488,18.2858638784,9.5930853391,18.3631611565,6.116709155,0,0.0506894801,0.0212670924,0.1208168632,0.0801982681,0.056812487700000004,0.1132103604
CICLO,PBO,7.0080337916,1.3159604092000001,37.3206802277,1.287303557,38.151481332,1.1719050633,0,,,,0.1426933759,0.0267956191,0.7598779272
DEUCRAVA,PBO,13.9864864866,1.9939504093,98.1076577055,1.9434685752,100.6560161247,1.0061736912,0,0.0714975845,0.010193249100000001,0.501499035,,,
ETA,PBO,10.6477685971,8.881485229,12.7653171936,8.8603038372,12.795833888,10.8059502032,0,0.0857016673,0.0597474772,0.122930308,0.0968702416,0.0785349277,0.1194862461
FUM,PBO,4.3535737612,2.0046995691,9.454586007,1.9843379678000002,9.5516009885,2.5273923769,0,0.223715415,0.1004877893,0.4980564032,0.3444463581,0.014962299200000001,7.9294827618
GUSEL,PBO,24.0956121853,20.3549978658,28.5236348543,20.3098427874,28.5870517396,11.6180313871,0,0.0360166534,0.0210302536,0.061682533500000004,0.042147744200000004,0.0352872408,0.0503420586
IFX,PBO,50.1019612854,20.8793268396,120.2244949721,20.6401229674,121.6178086055,2.2392306471,0,0.0235003373,0.0088616862,0.062320628600000004,0.010150410700000001,0.0013952344,0.073844826
IXE,PBO,30.1796547806,25.3640447815,35.9095550619,25.3060680017,35.9918246728,11.2750335311,0,0.0265587431,0.0149857836,0.047069066,0.0338885075,0.028236689800000003,0.0406715853
MTX,PBO,6.9403516427,1.4096699348000001,34.1700420317,1.3803980632,34.8946309092,1.2296134682,0,0.172223179,0.0214923975,1.3800611771,0.1118577075,0.0093744437,1.3347081837
NETA,PBO,4.4884210992,2.0663241233,9.7496436965,2.0453304963,9.849715731,2.5266531329,0,0.2227954949,0.1025693128,0.4839442828,,,
RISAN,PBO,28.7360957772,24.02105147,34.3766467319,23.9644446494,34.4578483914,10.9360698495,0,0.0444177593,0.0254427412,0.077544213,0.0338331799,0.0279988671,0.040883227800000005
SECU,PBO,26.2510706751,22.2451386573,30.9783958737,22.196702183,31.0459952974,11.8369440376,0,0.043992353500000005,0.0302000716,0.06408352910000001,0.0367982896,0.030601401,0.0442500694
SONELO,PBO,25.4081322368,19.2265849594,33.5771113343,19.1561555547,33.7005607372,7.0307511252,0,0.015333701000000002,0.0009699019,0.2424187297,0.039741550300000004,0.030029935400000003,0.05259388
TILDRA,PBO,18.5577127307,14.0367245291,24.5348336844,13.9852265067,24.6251786934,7.0198459182,0,0.0579774402,0.027765659800000002,0.1210626217,0.053227624700000004,0.0393633802,0.0719750188
USK,PBO,18.8946136809,15.9876608625,22.3301225377,15.9525393478,22.379285101,11.7323354535,0,0.0559922086,0.0406542166,0.0771169065,0.0518208794,0.0426041897,0.0630314428
ADA,CICLO,2.4738687703,0.4603703859,13.2937019426,0.4502917341,13.5912481373,1.1656209688,0,,,,0.4042251602,0.0752259155,2.1720969313
APRE,CICLO,1.096499279,0.1891778741,6.355450789,0.18485203930000002,6.5041785495,1.1154170983,0,,,,0.9119933037,0.1573503316,5.285859759
BIME,CICLO,4.3173997303,0.8034677919000001,23.1993623371,0.7858782544,23.7186107718,1.1656456956,0,,,,0.2316208974,0.0431059649,1.2445665067
BRODA,CICLO,3.4378846016,0.6390914449,18.4935201811,0.6250914479,18.9077143417,1.1648887764,0,,,,0.2908765464,0.0540746655,1.5646729288999999
CERTO,CICLO,1.893898454,0.3449787399,10.397311309300001,0.3373312418,10.6330244859,1.1509710755,0,,,,0.5280114137,0.0961817206,2.8986386506
DEUCRAVA,CICLO,1.9957789735,0.1531372407,26.0102225546,0.1480479261,26.9043533081,0.7634018311,0,,,,0.5010574885,0.0384482361,6.5297821694
ETA,CICLO,1.5193660467,0.2825205703,8.1709915186,0.27633261940000003,8.3539655526,1.1650736441,0,,,,0.6581692425,0.1223879514,3.5394558589000003
FUM,CICLO,0.6212261371000001,0.11418986440000001,3.3796512116,0.11167184370000001,3.4558569163,1.1571391236,0,,,,1.6097197787000002,0.295897731,8.7570721052
GUSEL,CICLO,3.4382842466,0.6401806861,18.4663467951,0.6261699068000001,18.8795380163,1.16598831,0,,,,0.2908427367,0.0541542353,1.5620107477
