Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,direct,direct_lower,direct_upper,indirect,indirect_lower,indirect_upper,Reference
ADA,1.2318857924,0.7078882071,2.1437602581,0.7021867182,2.1611667755,3.5378087059,0,,,,1.2318857924,0.7078954136000001,2.1437384344,ETA
APRE,1.2410657359,0.6179113016000001,2.4926622266000003,0.6116531757,2.5181658858000002,2.8105160208,0,1.4,0.2842405764,6.8955672143,1.2061875427,0.5554294859000001,2.6193935056,ETA
BIME,0.6495101638,0.2840976791,1.484923968,0.28068921080000003,1.5029557128,2.3702976590000002,0,,,,0.6495101638,0.2841019958,1.4849014056,ETA
BRODA,1.2954718965,0.6792940267,2.4705758753,0.6729228826,2.493966958,3.0360472817,0,,,,1.2954718965,0.6793020849,2.470546568,ETA
CERTO,0.878356397,0.3587808382,2.150365566,0.3541224092,2.1786533133,2.1891107875,0,2.5602409639,0.3015076507,21.7401905968,0.6998194809,0.26112210610000003,1.8755490033000002,ETA
DEUCRAVA,0.7642398044000001,0.07844836100000001,7.4451839539,0.0758844587,7.6967338058,0.8609930903,0,,,,0.7642398044000001,0.0784516426,7.4448725273,ETA
FUM,1.0418145818,0.36114792770000004,3.0053547029,0.355605997,3.0521915605,1.8500486215,0,,,,1.0418145818,0.3611549583,3.0052961973,ETA
GUSEL,1.1283974998,0.6734614045,1.8906516528,0.6684067926,1.9049490994,3.7975438316,0,,,,1.1283974998,0.6734677916,1.8906337222,ETA
IFX,1.4830678481000001,0.6572863132,3.3463198576,0.6495251876,3.3863047717,2.4086069475,0,0.92,0.0610094636,13.8732575356,1.5547319011,0.6625274306000001,3.6484395554,ETA
IXE,1.1369183568,0.7076689425,1.8265367778,0.7027885447000001,1.8392208579,4.1341463299,0,1.068456076,0.5531670571,2.0637497691,1.2155995108,0.6138003526,2.4074312832,ETA
MTX,0.1001256789,0.0112212612,0.8934068441,0.0108684444,0.9224090588,0.895543167,0,,,,0.1001256789,0.0112217125,0.8933709153,ETA
NETA,0.9898295676000001,0.0399841596,24.5037680623,0.0381544201,25.6788746721,0.6107727711000001,0,,,,0.9898295676000001,0.039986517400000005,24.5023231903,ETA
