RR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
0.602621697,0.602621697,1,BE SURE_2021,ADA,BIME,0.51495335,0.705215162,0.51495335,0.705215162,,,155.4237961,,
0.947494606,0.688862565,2,Gordon_2015_X-PLORE,ADA,GUSEL,0.657068703,1.366289436,0.628283051,0.755283201,0.562763973,0.843216084,28.67002546,2.28E-06,0.361619755
0.678485353,0.688862565,2,VOYAGE-1_2016,ADA,GUSEL,0.598097657,0.769677609,0.628283051,0.755283201,0.562763973,0.843216084,241.4157697,2.28E-06,0.361619755
0.668587896,0.688862565,2,VOYAGE-2_2017,ADA,GUSEL,0.578489401,0.772719041,0.628283051,0.755283201,0.562763973,0.843216084,183.2700104,2.28E-06,0.361619755
43.29959514,15.51745184,3,Asahina_2010,ADA,PBO,2.731389332,686.4107278,10.24658687,23.4996604,6.889480568,34.95057563,0.485233771,0.07307357,0
16.13017751,15.51745184,3,Cai_2016,ADA,PBO,5.284178488,49.2380466,10.24658687,23.4996604,6.889480568,34.95057563,2.517159351,0.07307357,0
6.652686762,15.51745184,3,Elewski_2016,ADA,PBO,3.148383024,14.05745134,10.24658687,23.4996604,6.889480568,34.95057563,4.570932555,0.07307357,0
38.62694301,15.51745184,3,Gordon_2006,ADA,PBO,2.418149755,617.0175039,10.24658687,23.4996604,6.889480568,34.95057563,0.482664554,0.07307357,0
18.55813954,15.51745184,3,Gordon_2015_X-PLORE,ADA,PBO,2.599963095,132.465166,10.24658687,23.4996604,6.889480568,34.95057563,0.927093539,0.07307357,0
19.88370188,15.51745184,3,REVEAL_2008,ADA,PBO,10.37658387,38.10132558,10.24658687,23.4996604,6.889480568,34.95057563,5.459234705,0.07307357,0
17.29580838,15.51745184,3,VOYAGE-1_2016,ADA,PBO,7.242133699,41.30619512,10.24658687,23.4996604,6.889480568,34.95057563,3.698819504,0.07307357,0
19.33333333,15.51745184,3,VOYAGE-2_2017,ADA,PBO,8.674128137,43.09110632,10.24658687,23.4996604,6.889480568,34.95057563,4.161526999,0.07307357,0
0.654031869,0.654031869,4,IMMvent_2019,ADA,RISAN,0.570025297,0.750418775,0.570025297,0.750418775,,,203.2575027,,
0.705882353,0.705882353,5,LIBERATE_2017,APRE,ETA,0.359964832,1.384218269,0.359964832,1.384218269,,,8.47023512,,
27.59786477,6.954681362,6,ESTEEM-1_2015,APRE,PBO,3.839014362,198.3952306,3.375570659,14.32871587,2.49787291,19.36351231,0.987306829,0,0
6.021818182,6.954681362,6,ESTEEM-2_2015,APRE,PBO,1.444060676,25.11133696,3.375570659,14.32871587,2.49787291,19.36351231,1.884005809,0,0
4.048192771,6.954681362,6,LIBERATE_2017,APRE,PBO,1.185331388,13.82555535,3.375570659,14.32871587,2.49787291,19.36351231,2.546384222,0,0
8.894117647,6.954681362,6,Ohtsuki_2017  ,APRE,PBO,1.207747157,65.49825288,3.375570659,14.32871587,2.49787291,19.36351231,0.9636061,0,0
7.333333333,6.954681362,6,Papp_2012c,APRE,PBO,1.002995862,53.61714818,3.375570659,14.32871587,2.49787291,19.36351231,0.970588235,0,0
58.09352518,30.20928458,7,BE ABLE 1_2018,BIME,PBO,3.687879183,915.1215374,10.03901781,90.90539456,1.094188012,834.0439346,0.442972788,0.278783043,0.081895151
78.11461318,30.20928458,7,BE READY_2021,BIME,PBO,11.12679904,548.3960636,10.03901781,90.90539456,1.094188012,834.0439346,0.788989257,0.278783043,0.081895151
17.64719626,30.20928458,7,BE VIVID_2021,BIME,PBO,6.776093575,45.95915514,10.03901781,90.90539456,1.094188012,834.0439346,1.933179312,0.278783043,0.081895151
1.150670241,1.150670241,8,BE RADIANT_2021,BIME,SECU,1.069656733,1.237819539,1.069656733,1.237819539,,,720.7248638,,
1.711434176,1.711434176,9,BE VIVID_2021,BIME,USK,1.456743555,2.010653782,1.456743555,2.010653782,,,147.9629522,,
68.65771812,29.07114763,10,AMAGINE-1 2016,BRODA,PBO,17.23140012,273.5635075,16.19049053,52.19925999,8.4848739,99.60450028,1.652847558,0.107541288,0
18.48436989,29.07114763,10,AMAGINE-2_2015,BRODA,PBO,10.0293202,34.06730699,16.19049053,52.19925999,8.4848739,99.60450028,4.881508686,0.107541288,0
38.01117319,29.07114763,10,AMAGINE-3_2015,BRODA,PBO,15.91375441,90.79248362,16.19049053,52.19925999,8.4848739,99.60450028,3.279856889,0.107541288,0
21.52212389,29.07114763,10,Nakagawa_2016,BRODA,PBO,3.09058718,149.8750205,16.19049053,52.19925999,8.4848739,99.60450028,0.919116852,0.107541288,0
42.93769471,29.07114763,10,Papp_2012a,BRODA,PBO,2.725235103,676.5088357,16.19049053,52.19925999,8.4848739,99.60450028,0.479269229,0.107541288,0
1.272765261,1.270016681,11,AMAGINE-2_2015,BRODA,USK,1.119118309,1.447506843,1.161286415,1.38892727,0.710917972,2.268816422,232.0980616,0,0
1.26744404,1.270016681,11,AMAGINE-3_2015,BRODA,USK,1.118967888,1.435621534,1.161286415,1.38892727,0.710917972,2.268816422,247.4519907,0,0
1.196491228,1.196491228,12,CIMPACT_2018,CERTO,ETA,0.895548189,1.598564184,0.895548189,1.598564184,,,45.76796288,,
37.52631579,19.7279593,13,CIMPACT_2018,CERTO,PBO,2.365511799,595.3148817,8.276990263,47.02100231,5.764140387,67.51958699,0.502811277,0,0
20.06557377,19.7279593,13,CIMPASI-1_2018,CERTO,PBO,2.857742545,140.8899663,8.276990263,47.02100231,5.764140387,67.51958699,1.011309919,0,0
13.0758427,19.7279593,13,CIMPASI-2_2018,CERTO,PBO,3.341811452,51.16316845,8.276990263,47.02100231,5.764140387,67.51958699,2.063982743,0,0
24.57627119,19.7279593,13,Reich_2012a,CERTO,PBO,3.481373737,173.4927506,8.276990263,47.02100231,5.764140387,67.51958699,1.005748816,0,0
34.72413793,19.7279593,13,Umezawa_2021,CERTO,PBO,2.221707081,542.7203996,8.276990263,47.02100231,5.764140387,67.51958699,0.508272251,0,0
