RR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
2.006289308,2.006289308,1,BE SURE_2021,ADA,BIME,0.589421582,6.829062446,0.589421582,6.829062446,,,2.560321851,,
1.612403101,1.097909861,2,Gordon_2015_X-PLORE,ADA,GUSEL,0.171786658,15.13414252,0.543458444,2.21802803,0.2344931,5.140475624,0.766125118,0,0
0.738772455,1.097909861,2,VOYAGE-1_2016,ADA,GUSEL,0.259172516,2.105874295,0.543458444,2.21802803,0.2344931,5.140475624,3.500994305,0,0
1.5,1.097909861,2,VOYAGE-2_2017,ADA,GUSEL,0.526236957,4.275640412,0.543458444,2.21802803,0.2344931,5.140475624,3.50117647,0,0
0.74796748,1.149721995,3,Asahina_2010,ADA,PBO,0.141758353,3.946542401,0.707960744,1.867138363,0.640517601,2.063738237,1.388636318,1.69E-07,0.031026831
0.343195266,1.149721995,3,Cai_2016,ADA,PBO,0.078258157,1.505057057,0.707960744,1.867138363,0.640517601,2.063738237,1.757837899,1.69E-07,0.031026831
1.585321101,1.149721995,3,Elewski_2016,ADA,PBO,0.535574898,4.692607893,0.707960744,1.867138363,0.640517601,2.063738237,3.261933976,1.69E-07,0.031026831
15.77720207,1.149721995,3,Gordon_2006,ADA,PBO,0.960292542,259.2127862,0.707960744,1.867138363,0.640517601,2.063738237,0.490302942,1.69E-07,0.031026831
0.976744186,1.149721995,3,Gordon_2015_X-PLORE,ADA,PBO,0.063131845,15.11169535,0.707960744,1.867138363,0.640517601,2.063738237,0.512049857,1.69E-07,0.031026831
1.047736048,1.149721995,3,REVEAL_2008,ADA,PBO,0.430644515,2.549088139,0.707960744,1.867138363,0.640517601,2.063738237,4.859489937,1.69E-07,0.031026831
1.041916168,1.149721995,3,VOYAGE-1_2016,ADA,PBO,0.26377085,4.115653042,0.707960744,1.867138363,0.640517601,2.063738237,2.035585991,1.69E-07,0.031026831
2,1.149721995,3,VOYAGE-2_2017,ADA,PBO,0.505840152,7.907636412,0.707960744,1.867138363,0.640517601,2.063738237,2.032786189,1.69E-07,0.031026831
0.891118421,0.891118421,4,IMMvent_2019,ADA,RISAN,0.367289405,2.162033616,0.367289405,2.162033616,,,4.889990416,,
1.4,1.4,5,LIBERATE_2017,APRE,ETA,0.284240576,6.895567214,0.284240576,6.895567214,,,1.511116856,,
0.752669039,1.005134238,6,ESTEEM-1_2015,APRE,PBO,0.311231339,1.820223776,0.529096885,1.909470392,0.404985146,2.494646645,4.925917293,0,0
0.836363636,1.005134238,6,ESTEEM-2_2015,APRE,PBO,0.202833804,3.44865658,0.529096885,1.909470392,0.404985146,2.494646645,1.91405659,0,0
7.083832336,1.005134238,6,LIBERATE_2017,APRE,PBO,0.371614687,135.0341694,0.529096885,1.909470392,0.404985146,2.494646645,0.442105428,0,0
4.460410557,1.005134238,6,Ohtsuki_2017  ,APRE,PBO,0.242963933,81.88566123,0.529096885,1.909470392,0.404985146,2.494646645,0.453612909,0,0
