studlab,treat1,treat2,RR,TE_direct,TE_adj,seTE
FIXTURE_2014,PBO,ETA,-2.595254707,-2.456882999,-0.138371708,0.456935886
Bagel 2012,PBO,ETA,-2.708050201,-2.456882999,-0.251167202,1.0170588
Leonardi_2003,PBO,ETA,-2.995732274,-2.456882999,-0.538849275,1.004355594
Papp_2005,PBO,ETA,-3.386844252,-2.456882999,-0.929961254,1.004783653
Tyring_2006,PBO,ETA,-2.781641274,-2.456882999,-0.324758275,0.508854533
Vandekerkhof_2008,PBO,ETA,-1.829242563,-2.456882999,0.627640436,1.022138582
Bachelez_2015,PBO,ETA,-3.547151294,-2.456882999,-1.090268296,0.998510796
UNCOVER-2_2015,PBO,ETA,-3.448123612,-2.456882999,-0.991240614,1.003085089
UNCOVER-3_2015,PBO,ETA,-2.11047759,-2.456882999,0.346405409,0.411183171
Gottlieb_2011,PBO,ETA,-2.767255376,-2.456882999,-0.310372378,1.004243471
Strober_2011,PBO,ETA,-1.539416763,-2.456882999,0.917466236,0.591005277
LIBERATE_2017,PBO,ETA,-1.746577246,-2.456882999,0.710305752,0.606798079
ReSURFACE-2_2017,PBO,ETA,-2.815198256,-2.456882999,-0.358315257,0.710858797
CIMPACT_2018,PBO,ETA,-3.445649144,-2.456882999,-0.988766146,1.413594344
PIECE_2016,IFX,ETA,2.219203484,2.219203484,0,1.008227028
LIBERATE_2017,APRE,ETA,-0.348306694,-0.348306694,0,0.343599297
UNCOVER-2_2015,IXE,ETA,1.247918683,1.069138211,0.178780472,0.113565904
UNCOVER-3_2015,IXE,ETA,0.954988022,1.069138211,-0.114150189,0.090745738
CIMPACT_2018,CERTO,ETA,0.179393297,0.179393297,-2.78E-17,0.147815239
FIXTURE_2014,SECU,ETA,0.842100598,0.842100598,0,0.116335569
ACCEPT_2010,USK,ETA,0.588947562,0.588947562,0,0.110220682
ReSURFACE-2_2017,TILDRA,ETA,0.565500605,0.565500605,0,0.119973677
FIXTURE_2014,ETA,PBO,2.595254707,2.456882999,0.138371708,0.456935886
Bagel 2012,ETA,PBO,2.708050201,2.456882999,0.251167202,1.0170588
Leonardi_2003,ETA,PBO,2.995732274,2.456882999,0.538849275,1.004355594
Papp_2005,ETA,PBO,3.386844252,2.456882999,0.929961254,1.004783653
Tyring_2006,ETA,PBO,2.781641274,2.456882999,0.324758275,0.508854533
Vandekerkhof_2008,ETA,PBO,1.829242563,2.456882999,-0.627640436,1.022138582
Bachelez_2015,ETA,PBO,3.547151294,2.456882999,1.090268296,0.998510796
UNCOVER-2_2015,ETA,PBO,3.448123612,2.456882999,0.991240614,1.003085089
UNCOVER-3_2015,ETA,PBO,2.11047759,2.456882999,-0.346405409,0.411183171
Gottlieb_2011,ETA,PBO,2.767255376,2.456882999,0.310372378,1.004243471
Strober_2011,ETA,PBO,1.539416763,2.456882999,-0.917466236,0.591005277
LIBERATE_2017,ETA,PBO,1.746577246,2.456882999,-0.710305752,0.606798079
ReSURFACE-2_2017,ETA,PBO,2.815198256,2.456882999,0.358315257,0.710858797
CIMPACT_2018,ETA,PBO,3.445649144,2.456882999,0.988766146,1.413594344
EXPRESS_2005,IFX,PBO,3.784189634,3.750740507,0.033449127,0.994738499
Torii_2010,IFX,PBO,3.064443415,3.750740507,-0.686297091,1.404218995
EXPRESS-II_2007,IFX,PBO,4.449551124,3.750740507,0.698810618,0.998735891
Gottlieb_2004a,IFX,PBO,3.268531415,3.750740507,-0.482209091,0.992544998
Yang_2012,IFX,PBO,3.95567177,3.750740507,0.204931264,1.409541136
Papp_2012a,BRODA,PBO,3.759750105,3.280934949,0.478815156,1.406758198
AMAGINE-1 2016,BRODA,PBO,4.229133553,3.280934949,0.948198604,0.705319208
Nakagawa_2016,BRODA,PBO,3.069081424,3.280934949,-0.211853524,0.990181626
AMAGINE-2_2015,BRODA,PBO,2.916925504,3.280934949,-0.364009445,0.311950978
AMAGINE-3_2015,BRODA,PBO,3.637880148,3.280934949,0.356945199,0.444240997
ESTEEM-1_2015,APRE,PBO,3.317738406,1.93941501,1.378323396,1.006407651
ESTEEM-2_2015,APRE,PBO,1.795389237,1.93941501,-0.144025773,0.728549193
Papp_2012c,APRE,PBO,1.992430165,1.93941501,0.053015155,1.015038438
LIBERATE_2017,APRE,PBO,1.398270552,1.93941501,-0.541144458,0.626668742
Ohtsuki_2017  ,APRE,PBO,2.18539012,1.93941501,0.24597511,1.018709203
Asahina_2010,ADA,PBO,3.768143285,2.728673184,1.039470101,1.409889628
Gordon_2006,ADA,PBO,3.653950038,2.728673184,0.925276854,1.413774629
REVEAL_2008,ADA,PBO,2.989900395,2.728673184,0.261227211,0.331816647
Gordon_2015_X-PLORE,ADA,PBO,2.920908482,2.728673184,0.192235298,1.002779259
Cai_2016,ADA,PBO,2.780691897,2.728673184,0.052018713,0.569385326
VOYAGE-1_2016,ADA,PBO,2.850464182,2.728673184,0.121790998,0.444165462
VOYAGE-2_2017,ADA,PBO,2.961830722,2.728673184,0.233157538,0.408928894
Elewski_2016,ADA,PBO,1.895020798,2.728673184,-0.833652387,0.381706913
BRIDGE_2017,FUM,PBO,1.497380504,1.497380504,-2.22E-16,0.408343501
Leonardi_2012,IXE,PBO,3.309847603,3.628396278,-0.318548675,1.404410787
UNCOVER-2_2015,IXE,PBO,4.696042296,3.628396278,1.067646018,0.997403006
UNCOVER-3_2015,IXE,PBO,3.065465612,3.628396278,-0.562930666,0.402658451
UNCOVER-1_2016,IXE,PBO,4.983551192,3.628396278,1.355154914,0.705854255
NCT03364309,IXE,PBO,3.550273986,3.628396278,-0.078122292,0.699563671
Hunter_1963,MTX,PBO,0.990398704,1.758964091,-0.768565387,1.599450455
METOP_2017,MTX,PBO,2.364558853,1.758964091,0.605594762,1.419781249
Reich_2012a,CERTO,PBO,3.201781392,2.982036884,0.219744508,0.997137927
CIMPASI-1_2018,CERTO,PBO,2.999005599,2.982036884,0.016968715,0.994392561
CIMPASI-2_2018,CERTO,PBO,2.570766459,2.982036884,-0.411270425,0.696060468
CIMPACT_2018,CERTO,PBO,3.625042441,2.982036884,0.643005558,1.410254504
Umezawa_2021,CERTO,PBO,3.547435063,2.982036884,0.565398179,1.402658023
Gordon_2015_X-PLORE,GUSEL,PBO,2.974842517,3.323773853,-0.348931336,0.990803746
VOYAGE-1_2016,GUSEL,PBO,3.23835657,3.323773853,-0.085417284,0.441998572
VOYAGE-2_2017,GUSEL,PBO,3.36441813,3.323773853,0.040644277,0.404351486
ORION_2020 ,GUSEL,PBO,3.222070716,3.323773853,-0.101703137,1.39443414
Ohtsuki_2018,GUSEL,PBO,4.509233351,3.323773853,1.185459498,1.409880756
FEATURE_2015,SECU,PBO,4.155250438,3.123739445,1.031510994,1.41085169
ERASURE_2014,SECU,PBO,3.70104999,3.123739445,0.577310545,0.575696904
FIXTURE_2014,SECU,PBO,3.437355305,3.123739445,0.313615861,0.445655238
Papp_2013a,SECU,PBO,1.452045739,3.123739445,-1.671693706,0.997415017
Rich_2013,SECU,PBO,2.67506913,3.123739445,-0.448670315,0.997900746
JUNCTURE_2015,SECU,PBO,4.06405504,3.123739445,0.940315596,1.411701346
Reich_2015,SECU,PBO,2.288676663,3.123739445,-0.835062782,1.384644934
TRANSFIGURE_2016,SECU,PBO,3.714854941,3.123739445,0.591115496,0.99448547
CARIMA_2019,SECU,PBO,3.279443056,3.123739445,0.155703611,1.416476445
VIP-S trial_2020,SECU,PBO,4.212366518,3.123739445,1.088627073,1.409078461
ALLURE_2021,SECU,PBO,3.884802726,3.123739445,0.761063281,0.994548424
Cai_2020,SECU,PBO,3.88783578,3.123739445,0.764096335,0.702517931
NCT03055494 ObePso-S,SECU,PBO,3.42924083,3.123739445,0.305501385,1.407288869
NCT03535194,SECU,PBO,2.454692871,3.123739445,-0.669046574,0.367102047
