studlab,treat1,treat2,RR,TE_direct,TE_adj,seTE
FIXTURE_2014,PBO,ETA,0.693147181,0.323958425,0.369188755,0.702755314
Tyring_2006,PBO,ETA,-0.686695545,0.323958425,-1.010653971,0.702529942
Vandekerkhof_2008,PBO,ETA,1.141171903,0.323958425,0.817213478,0.895085212
Bachelez_2015,PBO,ETA,-0.117783036,0.323958425,-0.441741461,0.794116927
UNCOVER-2_2015,PBO,ETA,-0.629725354,0.323958425,-0.953683779,0.785018677
UNCOVER-3_2015,PBO,ETA,0.68273042,0.323958425,0.358771994,0.626259413
Gottlieb_2011,PBO,ETA,0.729252185,0.323958425,0.40529376,1.406485663
Strober_2011,PBO,ETA,1.350954995,0.323958425,1.026996569,1.21610726
LIBERATE_2017,PBO,ETA,-1.621342815,0.323958425,-1.94530124,1.54148942
ReSURFACE-2_2017,PBO,ETA,0.136731395,0.323958425,-0.18722703,0.6190735
CIMPACT_2018,PBO,ETA,2.702185082,0.323958425,2.378226656,1.084699861
PIECE_2016,IFX,ETA,-0.083381609,-0.083381609,0,1.384384968
LIBERATE_2017,APRE,ETA,0.336472237,0.336472237,0,0.81348767
UNCOVER-2_2015,IXE,ETA,-0.182178301,0.066214687,-0.248392988,0.444631439
UNCOVER-3_2015,IXE,ETA,0.396344524,0.066214687,0.330129837,0.512593259
CIMPACT_2018,CERTO,ETA,0.940101381,0.940101381,0,1.091377844
FIXTURE_2014,SECU,ETA,0.603073014,0.603073014,0,0.647800809
ACCEPT_2010,USK,ETA,0.221703666,0.221703666,0,0.608538901
ReSURFACE-2_2017,TILDRA,ETA,-0.328452948,-0.328452948,0,0.487905676
FIXTURE_2014,ETA,PBO,-0.693147181,-0.323958425,-0.369188755,0.702755314
Tyring_2006,ETA,PBO,0.686695545,-0.323958425,1.010653971,0.702529942
Vandekerkhof_2008,ETA,PBO,-1.141171903,-0.323958425,-0.817213478,0.895085212
Bachelez_2015,ETA,PBO,0.117783036,-0.323958425,0.441741461,0.794116927
UNCOVER-2_2015,ETA,PBO,0.629725354,-0.323958425,0.953683779,0.785018677
UNCOVER-3_2015,ETA,PBO,-0.68273042,-0.323958425,-0.358771994,0.626259413
Gottlieb_2011,ETA,PBO,-0.729252185,-0.323958425,-0.40529376,1.406485663
Strober_2011,ETA,PBO,-1.350954995,-0.323958425,-1.026996569,1.21610726
LIBERATE_2017,ETA,PBO,1.621342815,-0.323958425,1.94530124,1.54148942
ReSURFACE-2_2017,ETA,PBO,-0.136731395,-0.323958425,0.18722703,0.6190735
CIMPACT_2018,ETA,PBO,-2.702185082,-0.323958425,-2.378226656,1.084699861
EXPRESS_2005,IFX,PBO,0.776761321,0.201999482,0.574761838,0.736555672
Torii_2010,IFX,PBO,-0.610909082,0.201999482,-0.812908565,1.38520648
EXPRESS-II_2007,IFX,PBO,-0.227939724,0.201999482,-0.429939206,0.526242097
Gottlieb_2004a,IFX,PBO,1.869668532,0.201999482,1.66766905,1.433717106
Yang_2012,IFX,PBO,0.47957308,0.201999482,0.277573598,1.622607262
Papp_2012a,BRODA,PBO,-0.744440475,-0.120434887,-0.624005588,1.211376989
AMAGINE-1 2016,BRODA,PBO,0.38968124,-0.120434887,0.510116127,0.70149757
Nakagawa_2016,BRODA,PBO,0.00881063,-0.120434887,0.129245516,1.139371751
AMAGINE-2_2015,BRODA,PBO,-0.509905425,-0.120434887,-0.389470539,0.416625734
AMAGINE-3_2015,BRODA,PBO,0.465103374,-0.120434887,0.585538261,0.618055195
ESTEEM-1_2015,APRE,PBO,-0.284129671,0.005121103,-0.289250774,0.450563952
ESTEEM-2_2015,APRE,PBO,-0.178691789,0.005121103,-0.183812892,0.722807438
Papp_2012c,APRE,PBO,0.15415068,0.005121103,0.149029577,0.792278756
LIBERATE_2017,APRE,PBO,1.957815052,0.005121103,1.952693949,1.503962738
Ohtsuki_2017  ,APRE,PBO,1.495240815,0.005121103,1.490119712,1.48476355
Asahina_2010,ADA,PBO,-0.290395778,0.139520161,-0.429915939,0.848605202
Gordon_2006,ADA,PBO,2.758565991,0.139520161,2.619045831,1.428129967
REVEAL_2008,ADA,PBO,0.046631691,0.139520161,-0.092888469,0.453632831
Gordon_2015_X-PLORE,ADA,PBO,-0.023530497,0.139520161,-0.163050658,1.397474387
Cai_2016,ADA,PBO,-1.069455704,0.139520161,-1.208975865,0.754241673
VOYAGE-1_2016,ADA,PBO,0.041061487,0.139520161,-0.098458674,0.70089861
VOYAGE-2_2017,ADA,PBO,0.693147181,0.139520161,0.55362702,0.701381126
Elewski_2016,ADA,PBO,0.460786974,0.139520161,0.321266814,0.553684413
Leonardi_2012,IXE,PBO,-0.755948082,-0.053684666,-0.702263416,1.205930061
UNCOVER-2_2015,IXE,PBO,0.447547054,-0.053684666,0.501231719,0.754677435
UNCOVER-3_2015,IXE,PBO,-0.286385896,-0.053684666,-0.232701231,0.510086564
UNCOVER-1_2016,IXE,PBO,0.584312429,-0.053684666,0.637997094,0.502074995
NCT03364309,IXE,PBO,-1.38059634,-0.053684666,-1.326911675,0.807741226
Reich_2012a,CERTO,PBO,1.235668535,-0.500477538,1.736146073,1.056948999
CIMPASI-1_2018,CERTO,PBO,0.668249629,-0.500477538,1.168727167,1.057253432
CIMPASI-2_2018,CERTO,PBO,1.282333426,-0.500477538,1.782810964,1.458780961
CIMPACT_2018,CERTO,PBO,-1.762083701,-0.500477538,-1.261606163,0.615990335
Umezawa_2021,CERTO,PBO,-0.663876798,-0.500477538,-0.16339926,1.204839189
Gordon_2015_X-PLORE,GUSEL,PBO,-0.501256173,0.064062065,-0.565318238,1.142241707
VOYAGE-1_2016,GUSEL,PBO,0.343826802,0.064062065,0.279764737,0.670482433
VOYAGE-2_2017,GUSEL,PBO,0.287682073,0.064062065,0.223620008,0.672521335
ORION_2020 ,GUSEL,PBO,0.277631737,0.064062065,0.213569672,1.524268329
Ohtsuki_2018,GUSEL,PBO,-0.693147181,0.064062065,-0.757209246,0.988211769
FEATURE_2015,SECU,PBO,0.693147181,0.115696836,0.577450344,1.106605743
ERASURE_2014,SECU,PBO,0.235314087,0.115696836,0.119617251,0.586452833
FIXTURE_2014,SECU,PBO,-0.090074167,0.115696836,-0.205771003,0.502970398
Papp_2013a,SECU,PBO,-1.138221427,0.115696836,-1.253918263,0.882139473
Rich_2013,SECU,PBO,0.869516339,0.115696836,0.753819502,1.032201822
JUNCTURE_2015,SECU,PBO,0.70137768,0.115696836,0.585680843,1.106951713
Reich_2015,SECU,PBO,0.554075608,0.115696836,0.438378771,1.423743486
TRANSFIGURE_2016,SECU,PBO,-0.022814678,0.115696836,-0.138511514,0.852699588
CARIMA_2019,SECU,PBO,-1.426299696,0.115696836,-1.541996532,1.2123481
VIP-S trial_2020,SECU,PBO,1.587697926,0.115696836,1.472001089,1.535094981
ALLURE_2021,SECU,PBO,-1.393311934,0.115696836,-1.50900877,1.21610957
Cai_2020,SECU,PBO,0.839917753,0.115696836,0.724220917,0.749379866
NCT03055494 ObePso-S,SECU,PBO,-0.656779536,0.115696836,-0.772476373,1.394907594
NCT03535194,SECU,PBO,1.752538756,0.115696836,1.63684192,1.440776866
Papp_2021,SECU,PBO,-1.117480773,0.115696836,-1.233177609,1.621396762
NCT03589885 MATURE,SECU,PBO,1.485728258,0.115696836,1.370031422,1.47831311
METOP_2017,MTX,PBO,-2.529858038,-2.529858038,-4.44E-16,1.097510014
BRIDGE_2017,FUM,PBO,-0.187564961,-0.187564961,0,0.499810332
UltIMMa-1_2018  ,RISAN,PBO,-0.244757028,-0.604417272,0.359660244,0.680512367
UltIMMa-2_2018  ,RISAN,PBO,0.693147181,-0.604417272,1.297564452,1.073806884
SustaIMM_2019,RISAN,PBO,0.719349553,-0.604417272,1.323766825,1.106304236
IMMhance_2020,RISAN,PBO,-1.403643,-0.604417272,-0.799225728,0.48738383
