,ADA,APRE,BIME,BRODA,CERTO,DEUCRAVA,ETA,FUM,GUSEL,IFX,IXE,MTX,NETA,PBO,RISAN,SECU,SONELO,TILDRA,USK
ADA,ADA,.,"2.01
(0.59,  6.83)",.,.,.,.,.,"1.10
(0.54,  2.22)",.,.,.,.,"1.15
(0.71,  1.87)","0.89
(0.37,  2.16)",.,.,.,.
APRE,"0.99
(0.48,  2.05)",APRE,.,.,.,.,"1.40
(0.28,  6.90)",.,.,.,.,.,.,"1.01
(0.53,  1.91)",.,.,.,.,.
BIME,"1.90
(0.89,  4.06)","1.91
(0.74,  4.94)",BIME,.,.,.,.,.,.,.,.,.,.,"0.58
(0.20,  1.65)",.,.,.,.,"0.51
(0.15,  1.73)"
BRODA,"0.95
(0.50,  1.81)","0.96
(0.43,  2.12)","0.50
(0.21,  1.21)",BRODA,.,.,.,.,.,.,.,.,.,"0.89
(0.50,  1.57)",.,.,.,.,"1.50
(0.63,  3.55)"
CERTO,"1.40
(0.57,  3.47)","1.41
(0.51,  3.89)","0.74
(0.25,  2.21)","1.47
(0.56,  3.86)",CERTO,.,"2.56
(0.30, 21.74)",.,.,.,.,.,.,"0.61
(0.26,  1.39)",.,.,.,.,.
DEUCRAVA,"1.61
(0.17, 15.69)","1.62
(0.16, 16.54)","0.85
(0.08,  8.98)","1.70
(0.17, 16.89)","1.15
(0.11, 12.47)",DEUCRAVA,.,.,.,.,.,.,.,"0.61
(0.06,  5.71)",.,.,.,.,.
ETA,"1.23
(0.71,  2.14)","1.24
(0.62,  2.49)","0.65
(0.28,  1.48)","1.30
(0.68,  2.47)","0.88
(0.36,  2.15)","0.76
(0.08,  7.44)",ETA,.,.,"1.09
(0.07, 16.39)","0.94
(0.48,  1.81)",.,.,"0.72
(0.44,  1.18)",.,"0.55
(0.15,  1.95)",.,"1.39
(0.53,  3.61)","0.80
(0.24,  2.64)"
FUM,"1.18
(0.41,  3.41)","1.19
(0.38,  3.77)","0.62
(0.18,  2.12)","1.24
(0.41,  3.76)","0.84
(0.24,  3.01)","0.73
(0.06,  8.46)","0.96
(0.33,  2.77)",FUM,.,.,.,.,.,"0.83
(0.31,  2.21)",.,.,.,.,.
GUSEL,"1.09
(0.68,  1.76)","1.10
(0.54,  2.24)","0.58
(0.26,  1.28)","1.15
(0.61,  2.16)","0.78
(0.32,  1.91)","0.68
(0.07,  6.57)","0.89
(0.53,  1.48)","0.92
(0.32,  2.64)",GUSEL,.,"0.91
(0.47,  1.77)",.,.,"1.07
(0.50,  2.28)",.,"0.86
(0.55,  1.35)",.,.,.
IFX,"0.83
(0.36,  1.90)","0.84
(0.33,  2.15)","0.44
(0.16,  1.23)","0.87
(0.36,  2.12)","0.59
(0.20,  1.76)","0.52
(0.05,  5.43)","0.67
(0.30,  1.52)","0.70
(0.21,  2.37)","0.76
(0.34,  1.72)",IFX,.,.,.,"1.22
(0.58,  2.59)",.,.,.,.,.
IXE,"1.08
(0.63,  1.86)","1.09
(0.53,  2.24)","0.57
(0.25,  1.30)","1.14
(0.60,  2.18)","0.77
(0.31,  1.91)","0.67
(0.07,  6.55)","0.88
(0.55,  1.41)","0.92
(0.32,  2.65)","0.99
(0.63,  1.56)","1.30
(0.57,  2.98)",IXE,.,.,"0.95
(0.54,  1.68)",.,.,.,.,"0.73
(0.18,  3.01)"
MTX,"12.30
(1.38,109.69)","12.40
(1.33,115.81)","6.49
(0.67, 62.95)","12.94
(1.42,118.16)","8.77
(0.88, 87.51)","7.63
(0.34,170.43)","9.99
(1.12, 89.11)","10.41
(0.98,110.60)","11.27
(1.27,100.18)","14.81
(1.53,143.27)","11.35
(1.27,101.36)",MTX,.,"0.08
(0.01,  0.68)",.,.,.,.,.
NETA,"1.24
(0.05, 30.79)","1.25
(0.05, 32.03)","0.66
(0.03, 17.21)","1.31
(0.05, 32.92)","0.89
(0.03, 23.73)","0.77
(0.02, 37.87)","1.01
(0.04, 25.01)","1.05
(0.04, 29.43)","1.14
(0.05, 28.15)","1.50
(0.06, 39.21)","1.15
(0.05, 28.44)","0.10
(0.00,  4.72)",NETA,"0.79
(0.03, 19.01)",.,.,.,.,.
PBO,"0.98
(0.66,  1.46)","0.99
(0.54,  1.81)","0.52
(0.25,  1.08)","1.03
(0.62,  1.72)","0.70
(0.31,  1.58)","0.61
(0.06,  5.71)","0.80
(0.53,  1.19)","0.83
(0.31,  2.21)","0.90
(0.61,  1.32)","1.18
(0.57,  2.43)","0.90
(0.60,  1.36)","0.08
(0.01,  0.68)","0.79
(0.03, 19.01)",PBO,"1.83
(0.93,  3.59)","0.89
(0.56,  1.41)","1.08
(0.18,  6.42)","1.03
(0.40,  2.64)","1.02
(0.64,  1.63)"
RISAN,"1.35
(0.81,  2.27)","1.36
(0.65,  2.87)","0.71
(0.31,  1.62)","1.42
(0.74,  2.74)","0.96
(0.38,  2.43)","0.84
(0.09,  8.23)","1.10
(0.62,  1.96)","1.14
(0.39,  3.35)","1.24
(0.73,  2.12)","1.63
(0.70,  3.79)","1.25
(0.70,  2.22)","0.11
(0.01,  0.99)","1.09
(0.04, 27.03)","1.38
(0.89,  2.14)",RISAN,"1.49
(0.54,  4.09)",.,.,"0.54
(0.27,  1.05)"
