Study ID,Year,Author,t,y1,y1bas,sd1,sd1bas,n1,y2,y2bas,sd2,sd2bas,n2,HTN stage,Intervention (weeks),rob,Age,Male %,Female %,BMI,Body fat %,Fasting glucose,Hba1c,eGFR
1,2015,Abdelaal ,CONTROL,145.26,145,2.83,2.94,19,94.21,94,1.44,1.44,19,3,12,L,52.4,44,56,32.6,,121.36,9.32,
1,2015,Abdelaal ,EXE,139.65,145.4,10.16,2.58,40,89.62,93.9,7.08,1.34,40,3,12,L,52.4,44,56,32.6,,121.36,9.32,
2,2020,Amanat,CONTROL,135.12,133.08,11.09,11.12,15,88.06,87.31,7.5,9.14,15,2,12,M,54.5,0,100,28.78,33.33,156.94,,
2,2020,Amanat,EXE,130.21,133.08,9.48,15.21,43,88.47,91.26,6.99,10.11,43,2,12,M,54.5,0,100,28.78,33.33,156.94,,
3,2019,Ballin,CONTROL,131,136,13,15,36,81,83,7,7,36,2,10,L,70.7,48,52,29.2,,,,
3,2019,Ballin,EXE,136,143,14,14,36,80,84,9,7,36,2,10,L,70.7,48,52,29.2,,,,
4,2000,Blumenthal,CONTROL,141,143.8,3.4,1.4,24,93,94.4,1.3,0.7,24,3,24,M,47.4,46,54,31.4,33.1,90,,
4,2000,Blumenthal,EXE,132,138.1,2.3,2.1,55,89,93.6,2.2,1,55,3,24,M,47.4,46,54,31.4,33.1,90,,
4,2000,Blumenthal,EXE+DIET,133,142.7,3.1,1.4,54,86,93.2,2.2,0.7,54,3,24,M,47.4,46,54,31.4,33.1,90,,
5,2021,Blumenthal,CONTROL,133.2,140,13.16,10,50,70.8,80,8,8,50,2,16,L,62.5,52,48,34.15,,104.5,5.95,
5,2021,Blumenthal,EXE,126.4,139,11.85,10,90,67.2,79,9,9,90,2,16,L,62.5,52,48,34.15,,104.5,5.95,
6,2022,Brennan,CONTROL,135,139.8,10.5,11,20,72.4,73.7,8.6,8.3,20,2,24,M,68.96,36,64,34.1,,104.8,5.63,
6,2022,Brennan,DIET,129.5,135.1,15.8,11.1,21,75.25,75.2,11.4,11.1,21,2,24,M,68.96,36,64,34.1,,104.8,5.63,
6,2022,Brennan,EXE,133.5,134.5,13,15.3,20,71.3,72.6,8.7,11.7,20,2,24,M,68.96,36,64,34.1,,104.8,5.63,
7,2020,Dianatinasab,CONTROL,135.12,133.08,11.09,11.12,15,88.06,87.31,7.5,9.14,15,2,8,M,53.47,0,100,29.5,34.81,112.96,,
7,2020,Dianatinasab,EXE,130.21,133.26,9.48,15.21,39,88.47,91.26,6.99,10.19,39,2,8,M,53.47,0,100,29.5,34.81,112.96,,
9,2018,Dieli-Conwright ,CONTROL,135.9,133.7,9.8,9.7,50,95.6,94.9,10.6,10.3,50,3,16,H,53.24,0,100,32.55,36.65,100.55,,
9,2018,Dieli-Conwright ,EXE,120.7,132.9,9.5,13,50,82,93.7,8.7,11.3,50,3,16,H,53.24,0,100,32.55,36.65,100.55,,
10,2025,Eichel,CONTROL,148,144,16,19.39,19,88,89,13,10,19,3,10,L,54,24,76,33.6,,,40.8,
10,2025,Eichel,EXE,144,145,14,17.8,23,87,90,13,14.2,23,3,10,L,50.7,31,69,34.8,,,38.3,
11,2025,Eichel,EXE,146,142,17,14.9,18,90,89,10,7.6,18,3,10,L,52.1,43,57,33.4,,,39.7,
11,2025,Eichel,CONTROL,148,144,16,19.39,19,88,89,13,10,19,3,10,L,54,24,76,33.6,,,40.8,
12,2014,Hunt,CONTROL,137.7,141.2,12.37,14.9,280,88,89.5,10.1,10.1,280,2,3,L,47.1,100,0,34.3,30.15,,,
12,2014,Hunt,EXE+DIET,131.9,139.4,13.9,17.6,295,84.5,88.2,10.3,10.3,295,2,3,L,47.1,100,0,34.3,30.15,,,
13,2013,Khalid,CONTROL,145,154,6.7,6.7,13,95,95,3.7,4.2,13,3,8,L,52.8,0,100,33.75,,,,
13,2013,Khalid,EXE,124,148,5.6,5.6,12,85,94,5.4,4.1,12,3,8,L,52.8,0,100,33.75,,,,
14,1995,Kokkinos,CONTROL,138,139,10,13,23,90,88.5,7,6,23,2,32,M,57.5,100,0,30.5,,,,
14,1995,Kokkinos,EXE,131,135,15,38.36,23,83,88.5,8,7,23,2,32,M,57.5,100,0,30.5,,,,
15,2014,Latosik,CONTROL,142.8,149.4,7.1,,10,86.2,86.8,4.84,,10,3,8,M,,0,100,27.9,,,,
15,2014,Latosik,EXE,135.6,145.8,14.5,,15,83.2,85.2,9.48,,15,3,8,M,,0,100,27.9,,,,
16,2024,Ma,EXE,126.03,130.67,9.91,9,30,77.23,80.13,7.92,8.6,30,2,24,M,57.73,53,47,26.56,,81.1,7.87,
16,2024,Ma,CONTROL,135.06,132.48,8.73,10.19,31,79.03,79.06,6.79,8.79,31,2,24,M,56.29,35,65,26.92,,83.6,8.23,
17,2024,Ma,EXE,128.16,131.31,11.3,11.15,32,76.16,78.34,7.79,8.99,32,2,24,M,57.56,50,50,26.33,,81.8,8.01,
17,2024,Ma,CONTROL,135.06,132.48,8.73,10.19,31,79.03,79.06,6.79,8.79,31,2,24,M,56.29,35,65,26.92,,83.6,8.23,
18,2019,Maddison,CONTROL,137.5,143.4,14.8,14.9,39,92.8,94.8,9.8,11.2,39,3,12,M,42.65,100,0,,35.2,,,
18,2019,Maddison,EXE,138.4,143.1,18,16.9,45,88.7,94.5,15.7,13.9,45,3,12,M,42.65,100,0,,35.2,,,
19,2018,Masroor,CONTROL,149,149.4,10.2,11.6,13,86.3,85,6.4,3.8,13,3,4,M,40.6,0,100,29.15,,,,
19,2018,Masroor,EXE,122.5,141.6,9.2,4.6,15,77.4,84.6,5.7,6.5,15,3,4,M,40.6,0,100,29.15,,,,
