unique_id,name,bias,year_publication,treat,treat_class,nPASI90,rPASI90,rAE,nAE,rSAE,nSAE,dlqi,sddlqi,ndlqi,age,male_percentage,weight,bmi
1,ACCEPT_2010,H,2010,ETA,ATA,347,80,243,347,4,347,0,NA,347,45,0.68,90,
1,ACCEPT_2010,H,2010,USK,AIL1223,556,231,378,556,8,556,0,NA,556,45,0.68,90,
2,Igarashi_2012,M,2012,PBO,PBO,32,1,21,32,2,32,-0.30000001,5.3000002,32,45,0.79,72,26
2,Igarashi_2012,M,2012,USK,AIL1223,126,48,79,126,3,126,-7.7047625,6.4809489,126,45,0.79,72,26
3,Krueger_2007,L,2007,PBO,PBO,64,1,48,64,1,64,-2.2,4.1999998,64,45,0.69,93,
3,Krueger_2007,L,2007,USK,AIL1223,256,95,200,256,9,256,0,NA,256,45,0.69,93,
4,PHOENIX1_2008,L,2008,PBO,PBO,255,5,122,255,2,255,-0.60000002,5.9699998,255,45,0.69,93.5,
4,PHOENIX1_2008,L,2008,USK,AIL1223,511,200,277,511,6,511,-8.3506851,6.6752596,511,45,0.69,93.5,
5,PHOENIX2_2008,L,2008,PBO,PBO,410,3,202,410,8,410,-0.5,5.6599998,410,47,0.68,91,
5,PHOENIX2_2008,L,2008,USK,AIL1223,820,382,412,820,13,820,-9.6508541,6.9027977,820,47,0.68,91,
6,PEARL_2011,L,2011,PBO,PBO,60,1,42,60,2,60,-0.5,6.5,60,41,0.85,74,
6,PEARL_2011,L,2011,USK,AIL1223,61,30,40,61,0,61,-11.2,7.0999999,61,41,0.85,74,
7,FEATURE_2015,L,2014,PBO,PBO,59,0,28,59,1,59,0,NA,59,46,0.66,92,
7,FEATURE_2015,L,2014,SECU,AIL17,118,63,64,118,4,118,0,NA,118,46,0.66,92,
8,ERASURE_2014,L,2014,PBO,PBO,248,3,116,248,4,248,-1.1,NA,248,45,0.69,89,30
8,ERASURE_2014,L,2014,SECU,AIL17,490,240,283,490,10,490,-10.75,NA,490,45,0.69,89,30
9,FIXTURE_2014,L,2014,ETA,ATA,326,67,186,326,3,326,-7.9000006,NA,326,44,0.71,83,34
9,FIXTURE_2014,L,2014,PBO,PBO,326,5,163,326,6,326,-1.8999999,NA,326,44,0.71,83,34
9,FIXTURE_2014,L,2014,SECU,AIL17,654,312,372,654,11,654,-10.049999,NA,654,44,0.71,83,34
10,Papp_2013a,H,2013,PBO,PBO,22,1,8,22,2,22,0,NA,22,46,0.73,91,.
